Sales Id,Year,Sales Date,Customer Id,Sales Channel,Channel Id,Channel Type,Channel Type Id,Country,Country Id,Geographic Region,Product Name,Product Id,Product Category,Product Class,Unit Cost Price,Unit Sale Price,Discount Type,Discount Type Id,Discount %,Quantity,Marketing Price,Cost Price,Sales Price WO Disc,Discount,Final Sales Price,Profit/Loss,Profit/Loss %,Customer Satisfaction,Complaints Reason,Customer Rating
153,2017,20-Feb-17,1530,Affiliate program,4,Paid Ads,2,Australia,6,Oceania,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,5,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,5
183,2017,02-Mar-17,1674,Referral program,3,Paid Ads,2,United States,3,America,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,8,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,5
343,2017,25-Apr-17,1602,Online,2,Paid Ads,2,Singapore,4,Asia,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,2,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,4
518,2017,22-Jun-17,1293,Affiliate program,4,Paid Ads,2,China,17,Asia,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,7,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,5
848,2017,10-Oct-17,1946,Store,1,Paid Ads,2,United States,3,America,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,6,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,5
1092,2017,30-Dec-17,1249,Online,2,Paid Ads,2,Singapore,4,Asia,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,5,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,4
1101,2018,02-Jan-18,1879,Referral program,3,Paid Ads,2,United States,3,America,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,6,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,5
1113,2018,05-Jan-18,1631,Referral program,3,Paid Ads,2,Australia,6,Oceania,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,8,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,4
1120,2018,07-Jan-18,1406,Online,2,Paid Ads,2,United States,3,America,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,6,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,5
1143,2018,12-Jan-18,1281,Online,2,Paid Ads,2,Switzerland,1,Europe,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,8,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,3
1148,2018,14-Jan-18,1943,Store,1,Paid Ads,2,Switzerland,1,Europe,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,7,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,4
1195,2020,25-Jan-20,1061,Referral program,3,Paid Ads,2,United States,3,America,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,8,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,4
1199,2018,26-Jan-18,1328,Referral program,3,Paid Ads,2,United States,3,America,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,4,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,4
1240,2018,06-Feb-18,1181,Online,2,Paid Ads,2,United States,3,America,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,5,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,5
1271,2018,13-Feb-18,1216,Referral program,3,Paid Ads,2,Norway,2,Europe,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,5,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,5
1281,2018,16-Feb-18,1137,Store,1,Paid Ads,2,Australia,6,Oceania,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,7,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,4
1285,2018,17-Feb-18,1301,Referral program,3,Paid Ads,2,Switzerland,1,Europe,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,4,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,3
1291,2018,18-Feb-18,1234,Store,1,Paid Ads,2,Australia,6,Oceania,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,7,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,5
1335,2018,01-Mar-18,1724,Store,1,Paid Ads,2,Australia,6,Oceania,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,5,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,5
1355,2018,06-Mar-18,1854,Online,2,Paid Ads,2,Singapore,4,Asia,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,5,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,5
1410,2018,20-Mar-18,1174,Store,1,Paid Ads,2,China,17,Asia,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,5,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,4
1434,2018,26-Mar-18,1884,Referral program,3,Paid Ads,2,Australia,6,Oceania,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,2,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,5
1492,2018,10-Apr-18,1354,Referral program,3,Paid Ads,2,Switzerland,1,Europe,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,8,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,3
1498,2018,11-Apr-18,1690,Store,1,Paid Ads,2,Switzerland,1,Europe,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,8,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,5
1519,2020,16-Apr-20,1063,Online,2,Paid Ads,2,Switzerland,1,Europe,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,6,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,5
1549,2018,24-Apr-18,1094,Store,1,Paid Ads,2,Switzerland,1,Europe,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,2,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,5
1564,2018,28-Apr-18,1601,Affiliate program,4,Paid Ads,2,United States,3,America,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,5,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,3
1598,2018,06-May-18,1288,Affiliate program,4,Paid Ads,2,Australia,6,Oceania,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,5,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,3
1621,2018,12-May-18,1068,Store,1,Paid Ads,2,United States,3,America,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,2,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,4
1630,2020,14-May-20,1053,Referral program,3,Paid Ads,2,United States,3,America,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,7,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,5
1655,2018,20-May-18,1660,Referral program,3,Paid Ads,2,United States,3,America,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,6,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,5
1699,2018,31-May-18,1514,Online,2,Paid Ads,2,Switzerland,1,Europe,Prod - B,2,Sports Shoes,Elite,120,220,No Discount,1,0,4,10,110,220,0,220,100,0.833333333333333,Satisfied,No Complaints,4
